Column1	Column2	Column3	Column4	Column5	Column6	Column7
						
Test Method	TENSILE LMSMA.msm					
Sample I. D.	MingearLMSMA.mss					
Specimen Number	7					
						
Time (s)	Load (N)	Stress (MPa)	_COM1 (C)	Crosshead (mm)	_Strain2 (mm)	Strain (mm/mm)
						
0.400	450.611	17.201	0.000	-0.003	-0.000	-0.012
0.600	435.609	16.628	0.000	-0.005	-0.000	-0.013
0.800	420.225	16.041	0.000	-0.007	-0.000	-0.013
1.000	405.808	15.490	0.000	-0.009	-0.000	-0.014
1.200	391.383	14.940	0.000	-0.011	-0.000	-0.015
1.400	376.733	14.381	0.000	-0.013	-0.000	-0.015
1.600	362.542	13.839	0.000	-0.015	0.000	-0.016
1.800	349.364	13.336	0.000	-0.017	-0.000	-0.016
2.000	335.301	12.799	0.000	-0.019	-0.000	-0.017
2.200	322.413	12.307	0.000	-0.021	0.000	-0.018
2.400	309.831	11.827	0.000	-0.023	-0.000	-0.018
2.600	296.845	11.331	0.000	-0.025	0.000	-0.019
2.790	285.185	10.886	0.000	-0.026	0.000	-0.020
3.200	280.477	10.706	0.000	-0.027	0.000	-0.020
3.400	282.521	10.784	0.000	-0.027	-0.000	-0.020
3.600	283.386	10.817	0.000	-0.027	0.000	-0.020
3.800	283.498	10.822	0.000	-0.027	-0.000	-0.020
4.000	283.943	10.839	0.000	-0.027	-0.000	-0.020
4.200	283.533	10.823	0.000	-0.027	-0.000	-0.020
4.400	283.577	10.825	0.000	-0.027	0.000	-0.020
4.600	283.109	10.807	0.000	-0.027	0.000	-0.020
4.800	283.149	10.808	0.000	-0.027	0.000	-0.020
5.000	283.060	10.805	0.000	-0.026	-0.000	-0.020
5.200	282.653	10.789	0.000	-0.026	0.000	-0.019
5.400	283.077	10.806	0.000	-0.026	0.000	-0.019
5.600	282.767	10.794	0.000	-0.026	0.000	-0.019
5.800	282.840	10.796	0.000	-0.026	-0.000	-0.019
6.000	282.459	10.782	0.000	-0.026	-0.000	-0.019
6.200	282.512	10.784	0.000	-0.026	0.000	-0.019
6.400	282.394	10.779	0.000	-0.025	0.000	-0.019
6.600	282.643	10.789	0.000	-0.025	0.000	-0.019
6.800	282.170	10.771	0.000	-0.025	0.000	-0.019
7.000	282.172	10.771	0.000	-0.025	-0.000	-0.019
7.200	282.050	10.766	0.000	-0.024	-0.000	-0.019
7.400	282.182	10.771	0.000	-0.024	-0.000	-0.019
7.600	282.149	10.770	0.000	-0.024	-0.000	-0.019
7.800	281.738	10.754	0.000	-0.024	0.000	-0.019
8.000	282.001	10.764	0.000	-0.024	-0.000	-0.019
8.200	281.801	10.757	0.000	-0.023	0.000	-0.019
8.400	281.868	10.759	0.000	-0.023	0.000	-0.018
8.430	281.828	10.758	0.000	-0.023	0.000	-0.018
8.800	301.363	11.504	0.000	-0.020	0.000	-0.017
9.000	314.491	12.005	0.000	-0.018	-0.000	-0.017
9.200	326.238	12.453	0.000	-0.016	-0.000	-0.016
9.400	338.127	12.907	0.000	-0.014	0.000	-0.016
9.600	349.124	13.327	0.000	-0.012	0.000	-0.015
9.800	359.622	13.727	0.000	-0.010	0.000	-0.014
10.000	370.478	14.142	0.000	-0.008	0.000	-0.014
10.200	379.994	14.505	0.000	-0.006	-0.000	-0.013
10.400	389.579	14.871	0.000	-0.004	-0.000	-0.012
10.600	398.984	15.230	0.000	-0.002	0.000	-0.012
