""
"Test Method","SMA-CFTC.msm"
"Sample I. D.","Sample89.mss"
"Specimen Number","1"

"Time (h)","Load (N)","Crosshead (in)","Temperature Chamber (C)","Extension (mm)","Stress (MPa)"

0.001,3.737,0.00015,49.20,-0.259,8.193
0.001,3.775,0.00024,49.30,-0.256,8.278
0.001,3.778,0.00034,49.40,-0.254,8.285
0.001,3.776,0.00044,49.40,-0.251,8.281
0.002,3.780,0.00054,49.50,-0.249,8.288
0.002,3.826,0.00063,49.50,-0.246,8.389
0.002,3.843,0.00073,49.50,-0.244,8.427
0.003,3.863,0.00083,49.60,-0.241,8.471
0.003,3.881,0.00093,49.60,-0.239,8.510
0.003,3.895,0.00103,49.60,-0.236,8.541
0.003,3.922,0.00112,49.70,-0.234,8.600
0.004,3.967,0.00122,49.70,-0.232,8.700
0.004,3.978,0.00132,49.70,-0.229,8.723
0.004,3.991,0.00141,49.70,-0.227,8.752
0.004,4.020,0.00151,49.80,-0.224,8.815
0.005,4.041,0.00161,49.80,-0.222,8.861
0.005,4.091,0.00171,49.80,-0.219,8.970
0.005,4.019,0.00181,49.80,-0.217,8.813
0.006,4.064,0.00191,49.80,-0.214,8.913
0.006,4.063,0.00200,49.80,-0.212,8.910
0.006,4.108,0.00211,49.80,-0.209,9.008
0.006,4.121,0.00220,49.80,-0.207,9.037
0.007,4.118,0.00230,49.90,-0.204,9.030
0.007,4.153,0.00240,49.90,-0.202,9.107
0.007,4.165,0.00250,49.90,-0.199,9.132
0.008,4.140,0.00260,49.90,-0.197,9.079
0.008,4.177,0.00270,49.80,-0.194,9.159
0.008,4.234,0.00280,49.80,-0.192,9.283
0.008,4.245,0.00289,49.90,-0.189,9.309
0.009,4.186,0.00299,49.90,-0.187,9.179
0.009,4.225,0.00309,49.90,-0.184,9.265
0.009,4.259,0.00319,49.90,-0.182,9.339
0.009,4.288,0.00328,49.90,-0.179,9.402
0.010,4.335,0.00338,49.90,-0.177,9.506
0.010,4.366,0.00348,49.90,-0.174,9.575
0.010,4.371,0.00358,49.90,-0.172,9.584
0.011,4.425,0.00368,49.90,-0.169,9.703
0.011,4.369,0.00378,49.90,-0.167,9.581
0.011,4.402,0.00387,50.00,-0.164,9.653
0.011,4.459,0.00397,50.00,-0.162,9.777
0.012,4.496,0.00407,50.00,-0.159,9.858
0.012,4.520,0.00417,50.00,-0.157,9.912
0.012,4.548,0.00427,50.00,-0.154,9.973
0.013,4.525,0.00437,50.00,-0.152,9.922
0.013,4.602,0.00447,50.00,-0.149,10.092
0.013,4.581,0.00457,50.00,-0.147,10.045
0.013,4.628,0.00467,50.00,-0.144,10.148
0.014,4.549,0.00476,50.00,-0.142,9.975
0.014,4.523,0.00486,50.00,-0.139,9.918
0.014,4.580,0.00496,50.10,-0.137,10.043
0.014,4.640,0.00506,50.10,-0.134,10.175
0.015,4.657,0.00516,50.10,-0.131,10.213
0.015,4.664,0.00526,50.10,-0.129,10.227
0.015,4.694,0.00535,50.10,-0.127,10.292
0.016,4.728,0.00545,50.10,-0.124,10.367
0.016,4.786,0.00555,50.20,-0.122,10.495
0.016,4.824,0.00565,50.20,-0.119,10.577
0.016,4.818,0.00575,50.20,-0.117,10.565
0.017,4.875,0.00585,50.20,-0.114,10.691
0.017,4.875,0.00594,50.20,-0.112,10.689
0.017,4.825,0.00604,50.20,-0.109,10.580
0.018,4.899,0.00615,50.20,-0.106,10.743
0.018,4.903,0.00624,50.20,-0.104,10.752
0.018,4.987,0.00634,50.20,-0.102,10.935
0.018,5.029,0.00644,50.10,-0.099,11.028
0.019,5.122,0.00654,50.10,-0.097,11.232
0.019,5.235,0.00663,50.10,-0.094,11.479
0.019,5.279,0.00673,50.10,-0.092,11.576
0.019,5.327,0.00683,50.10,-0.089,11.680
0.020,5.403,0.00693,50.10,-0.087,11.848
0.020,5.272,0.00703,50.10,-0.084,11.561
0.020,5.386,0.00713,50.10,-0.082,11.811
0.021,5.333,0.00722,50.10,-0.079,11.694
0.021,5.248,0.00732,50.00,-0.077,11.507
0.021,5.353,0.00742,50.00,-0.074,11.737
0.021,5.422,0.00752,50.00,-0.072,11.889
0.022,5.519,0.00762,50.00,-0.069,12.101
0.022,5.555,0.00772,50.00,-0.067,12.180
0.022,5.580,0.00781,50.00,-0.064,12.236
0.023,5.640,0.00791,50.00,-0.062,12.368
0.023,5.733,0.00801,50.00,-0.059,12.571
0.023,5.812,0.00811,50.00,-0.057,12.744
0.023,5.906,0.00820,50.00,-0.054,12.951
0.024,5.994,0.00830,50.00,-0.052,13.143
0.024,6.072,0.00840,49.90,-0.049,13.314
0.024,6.149,0.00850,49.90,-0.047,13.483
0.024,5.948,0.00860,49.90,-0.044,13.043
0.025,5.879,0.00870,49.90,-0.042,12.892
0.025,5.988,0.00880,49.90,-0.039,13.131
0.025,6.064,0.00889,49.90,-0.037,13.298
0.026,6.171,0.00900,49.90,-0.034,13.533
0.026,6.249,0.00909,49.80,-0.032,13.704
0.026,6.331,0.00919,49.80,-0.029,13.882
0.026,6.401,0.00929,49.80,-0.027,14.037
0.027,6.363,0.00939,49.80,-0.024,13.953
0.027,6.464,0.00949,49.80,-0.022,14.174
0.027,6.573,0.00959,49.80,-0.019,14.412
0.028,6.664,0.00969,49.70,-0.017,14.613
0.028,6.762,0.00978,49.70,-0.014,14.828
0.028,6.872,0.00988,49.70,-0.012,15.068
0.028,6.898,0.00998,49.70,-0.009,15.126
0.029,6.854,0.01008,49.70,-0.007,15.030
0.029,6.922,0.01018,49.70,-0.004,15.179
0.029,6.984,0.01028,49.70,-0.002,15.315
0.029,7.130,0.01037,49.70,0.001,15.635
0.030,7.136,0.01047,49.60,0.003,15.647
0.030,7.166,0.01057,49.60,0.006,15.714
0.030,7.271,0.01067,49.60,0.008,15.945
0.031,7.348,0.01077,49.60,0.011,16.113
0.031,7.437,0.01087,49.60,0.013,16.308
0.031,7.574,0.01096,49.60,0.016,16.608
0.031,7.696,0.01107,49.60,0.019,16.875
0.032,7.840,0.01117,49.60,0.021,17.192
0.032,7.973,0.01126,49.60,0.024,17.482
0.032,7.906,0.01136,49.60,0.026,17.337
0.033,8.067,0.01146,49.60,0.029,17.688
0.033,8.174,0.01156,49.60,0.031,17.924
0.033,8.334,0.01166,49.60,0.034,18.275
0.033,8.491,0.01176,49.60,0.036,18.619
0.034,8.532,0.01185,49.60,0.039,18.709
0.034,8.465,0.01195,49.60,0.041,18.563
0.034,8.618,0.01205,49.60,0.044,18.897
0.034,8.774,0.01215,49.60,0.046,19.240
0.035,8.945,0.01224,49.60,0.048,19.616
0.035,9.088,0.01234,49.60,0.051,19.927
0.035,9.192,0.01244,49.60,0.053,20.156
0.036,9.067,0.01254,49.60,0.056,19.882
0.036,9.249,0.01263,49.60,0.058,20.281
0.036,9.386,0.01273,49.60,0.061,20.581
0.036,9.507,0.01282,49.60,0.063,20.847
0.037,9.672,0.01292,49.60,0.066,21.209
0.037,9.778,0.01302,49.60,0.068,21.441
0.037,9.968,0.01312,49.60,0.071,21.858
0.038,10.093,0.01322,49.60,0.073,22.133
0.038,10.194,0.01331,49.60,0.076,22.354
0.038,10.327,0.01341,49.60,0.078,22.646
0.038,10.517,0.01351,49.60,0.081,23.063
0.039,10.694,0.01361,49.50,0.083,23.450
