Filename:	C:\Program Files\Pyris\Data\Mingear\2022\SMA anode bar boeing2.dcd 
Operator ID:	mingear 
Sample ID:	SMA anode bar 
Comment: 	 
Serial Number:	 
Data Collected:	1/20/2022 10:20:28 AM 
Sample Weight:	58.300 mg 
Display Weight:	58.300 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\Indium 28Apr2017.dcc 
Date/Time:	 
Initial Conditions 
Temperature:	 40.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	C:\Program Files\Pyris\Data\Mingear\backgroundmizuki_2.dcd 
End Condition:	Go To:	40.00°C 
Total Points in Run:	5400 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 40.00°C 
 
2)	Heat from 40.00°C to 150.00°C at 10.00°C/min 
 
3)	Hold for 2.0 min at 150.00°C 
 
4)	Cool from 150.00°C to -20.00°C at 10.00°C/min 
 
5)	Hold for 2.0 min at -20.00°C 
 
6)	Heat from -20.00°C to 150.00°C at 10.00°C/min 
 
7)	Hold for 2.0 min at 150.00°C 
 
8)	Cool from 150.00°C to -20.00°C at 10.00°C/min 
 
9)	Hold for 2.0 min at -20.00°C 
 
10)	Heat from -20.00°C to 150.00°C at 10.00°C/min 
 
11)	Hold for 2.0 min at 150.00°C 
 
1) DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow      
	0.000000	19.997050	0.000000	40.000000	40.538000	0.000000 
	0.016667	19.995044	0.000000	40.000000	40.534000	0.000000 
	0.033333	19.994219	0.000000	40.000000	40.530000	0.000000 
	0.050000	19.991505	0.000000	40.000000	40.527000	0.000000 
	0.066667	19.988437	0.000000	40.000000	40.524000	0.000000 
	0.083333	19.993747	0.000000	40.000000	40.520000	0.000000 
	0.100000	19.991033	0.000000	40.000000	40.515000	0.000000 
	0.116667	19.987965	0.000000	40.000000	40.511000	0.000000 
	0.133333	19.987965	0.000000	40.000000	40.508000	0.000000 
	0.150000	19.984071	0.000000	40.000000	40.504000	0.000000 
	0.166667	19.983718	0.000000	40.000000	40.501000	0.000000 
	0.183333	19.983010	0.000000	40.000000	40.496000	0.000000 
	0.200000	19.980296	0.000000	40.000000	40.494000	0.000000 
	0.216667	19.974396	0.000000	40.000000	40.490000	0.000000 
	0.233333	19.970503	0.000000	40.000000	40.487000	0.000000 
	0.250000	19.967317	0.000000	40.000000	40.483000	0.000000 
	0.266667	19.966727	0.000000	40.000000	40.478000	0.000000 
	0.283333	19.967081	0.000000	40.000000	40.473000	0.000000 
	0.300000	19.966963	0.000000	40.000000	40.468000	0.000000 
	0.316667	19.959294	0.000000	40.000000	40.464000	0.000000 
	0.333333	19.959884	0.000000	40.000000	40.461000	0.000000 
	0.350000	19.960710	0.000000	40.000000	40.456000	0.000000 
	0.366667	19.959294	0.000000	40.000000	40.453000	0.000000 
	0.383333	19.954928	0.000000	40.000000	40.449000	0.000000 
	0.400000	19.954338	0.000000	40.000000	40.445000	0.000000 
	0.416667	19.950091	0.000000	40.000000	40.442000	0.000000 
	0.433333	19.944191	0.000000	40.000000	40.438000	0.000000 
	0.450000	19.940416	0.000000	40.000000	40.435000	0.000000 
	0.466667	19.940770	0.000000	40.000000	40.431000	0.000000 
	0.483333	19.940416	0.000000	40.000000	40.428000	0.000000 
	0.500000	19.936994	0.000000	40.000000	40.423000	0.000000 
	0.516667	19.933808	0.000000	40.000000	40.420000	0.000000 
	0.533333	19.930740	0.000000	40.000000	40.417000	0.000000 
	0.550000	19.928853	0.000000	40.000000	40.413000	0.000000 
	0.566667	19.928499	0.000000	40.000000	40.409000	0.000000 
	0.583333	19.928971	0.000000	40.000000	40.404000	0.000000 
	0.600000	19.926021	0.000000	40.000000	40.399000	0.000000 
	0.616667	19.920593	0.000000	40.000000	40.395000	0.000000 
	0.633333	19.920947	0.000000	40.000000	40.392000	0.000000 
	0.650000	19.921773	0.000000	40.000000	40.387000	0.000000 
	0.666667	19.918470	0.000000	40.000000	40.384000	0.000000 
	0.683333	19.916464	0.000000	40.000000	40.380000	0.000000 
	0.700000	19.914458	0.000000	40.000000	40.377000	0.000000 
	0.716667	19.912570	0.000000	40.000000	40.373000	0.000000 
	0.733333	19.909738	0.000000	40.000000	40.371000	0.000000 
	0.750000	19.907261	0.000000	40.000000	40.367000	0.000000 
	0.766667	19.903603	0.000000	40.000000	40.363000	0.000000 
	0.783333	19.900771	0.000000	40.000000	40.359000	0.000000 
	0.800000	19.899237	0.000000	40.000000	40.356000	0.000000 
	0.816667	19.896524	0.000000	40.000000	40.352000	0.000000 
	0.833333	19.894518	0.000000	40.000000	40.349000	0.000000 
	0.850000	19.892866	0.000000	40.000000	40.346000	0.000000 
	0.866667	19.894518	0.000000	40.000000	40.342000	0.000000 
	0.883333	19.892984	0.000000	40.000000	40.338000	0.000000 
	0.900000	19.892866	0.000000	40.000000	40.336000	0.000000 
	0.916667	19.893102	0.000000	40.000000	40.333000	0.000000 
	0.933333	19.889444	0.000000	40.000000	40.327000	0.000000 
	0.950000	19.888146	0.000000	40.000000	40.321000	0.000000 
	0.966667	19.886731	0.000000	40.000000	40.318000	0.000000 
	0.983333	19.886023	0.000000	40.000000	40.314000	0.000000 
2) DSC Temperature Scan 
	1.000000	19.940062	0.000000	40.004000	40.310000	0.000000 
