FLUKE 287,  V1.16,38020004,,,,,,,,
,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,
,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,
4/7/2021 13:45,4/7/2021 13:49,0:04:08,0:00:02,168,125,48,Save 33,,,
Max Time,Max,Average,Min,Min Time,Scaling,,,,,
4/7/2021 13:46,151.3,79.5,26.8,4/7/2021 13:45,(none),,,,,
,,,,,,,,,,
Reading,,Start Time,Duration,Max Time,Max °C,Average °C,Min Time,Min °C,Description,Stop Time
1,,1:45:31 PM,00:02.0,45:32.4,27.1,26.9,45:31.0,26.8,Stable,1:45:33 PM
2,,45:32.9,00:00.3,45:32.9,28.7,28.7,45:32.9,28.7,Interval,45:33.2
3,,45:33.2,00:01.4,45:34.3,33.9,32,45:33.2,29.9,Unstable,45:34.7
4,,45:34.7,00:00.5,45:34.7,35,35,45:34.7,35,Interval,45:35.1
5,,45:35.1,00:01.1,45:35.8,38.2,37.3,45:35.1,36.4,Stable,45:36.2
6,,45:36.2,00:01.1,45:36.9,41.3,40.4,45:36.2,39.5,Interval,45:37.4
7,,45:37.4,00:01.1,45:38.0,44.1,43.3,45:37.4,42.4,Stable,45:38.5
8,,45:38.5,00:00.7,45:38.8,46.1,45.7,45:38.5,45.3,Interval,45:39.2
9,,45:39.2,00:01.1,45:39.9,48.9,47.9,45:39.2,46.9,Stable,45:40.3
10,,45:40.3,00:00.8,45:40.7,50.8,50.3,45:40.3,49.7,Interval,45:41.1
11,,45:41.1,00:01.1,45:41.9,53.6,52.5,45:41.1,51.6,Stable,45:42.2
12,,45:42.2,00:00.8,45:42.5,55.2,54.8,45:42.2,54.4,Interval,45:43.0
13,,45:43.0,00:01.1,45:43.6,58,57.2,45:43.0,56.3,Stable,45:44.1
14,,45:44.1,00:01.1,45:44.8,60.7,59.9,45:44.1,59.1,Interval,45:45.2
