"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""

"0.400,-4.395,-0.003,105.000,-0.330,****"
"0.600,-7.375,-0.005,105.000,-0.553,****"
"0.800,-10.650,-0.007,105.000,-0.799,****"
"1.000,-13.676,-0.009,105.000,-1.026,****"
"1.200,-17.185,-0.011,105.000,-1.289,****"
"1.400,-20.223,-0.013,105.000,-1.517,****"
"1.600,-23.127,-0.015,105.000,-1.735,****"
"1.800,-26.411,-0.017,105.000,-1.981,****"
"2.000,-29.990,-0.019,105.000,-2.249,****"
"2.200,-33.671,-0.021,105.000,-2.525,****"
"2.400,-36.609,-0.023,105.000,-2.746,****"
"2.600,-40.359,-0.025,105.000,-3.027,****"
"2.800,-43.967,-0.027,105.000,-3.298,****"
"3.000,-47.201,-0.029,105.000,-3.540,****"
"3.200,-50.846,-0.031,105.000,-3.813,****"
"3.400,-54.261,-0.033,105.000,-4.070,****"
"3.600,-57.928,-0.035,105.000,-4.345,****"
"3.800,-60.881,-0.037,105.000,-4.566,****"
"4.000,-64.639,-0.039,105.000,-4.848,****"
"4.200,-68.108,-0.041,105.000,-5.108,****"
"4.400,-71.915,-0.043,105.000,-5.394,****"
"4.600,-75.962,-0.045,105.000,-5.697,****"
"4.800,-79.005,-0.047,105.000,-5.925,****"
"5.000,-82.631,-0.049,105.000,-6.197,****"
"5.200,-86.211,-0.051,105.000,-6.466,****"
"5.400,-89.792,-0.053,105.000,-6.734,****"
"5.600,-92.970,-0.055,105.000,-6.973,****"
"5.800,-96.999,-0.057,105.000,-7.275,****"
"6.000,-100.349,-0.059,105.000,-7.526,****"
"6.200,-104.493,-0.061,105.000,-7.837,****"
"6.400,-107.925,-0.063,105.000,-8.094,****"
"6.600,-111.432,-0.065,105.000,-8.357,****"
"6.800,-115.208,-0.067,105.000,-8.641,****"
"7.000,-119.251,-0.069,105.000,-8.944,****"
"7.200,-122.112,-0.071,105.000,-9.158,****"
"7.400,-125.998,-0.073,105.000,-9.450,****"
"7.600,-129.771,-0.075,105.000,-9.733,****"
"7.800,-132.928,-0.077,105.000,-9.970,****"
"8.000,-136.809,-0.079,105.000,-10.261,****"
"8.200,-140.381,-0.081,105.000,-10.529,****"
"8.400,-144.506,-0.083,105.000,-10.838,****"
"8.600,-148.060,-0.085,105.000,-11.105,****"
"8.800,-151.907,-0.087,105.000,-11.393,****"
"9.000,-155.760,-0.089,105.000,-11.682,****"
"9.200,-159.373,-0.091,105.000,-11.953,****"
"9.400,-163.375,-0.093,105.000,-12.253,****"
"9.600,-167.315,-0.095,105.000,-12.549,****"
"9.800,-170.961,-0.097,105.000,-12.822,****"
"10.000,-174.550,-0.099,105.000,-13.091,****"
"10.200,-178.506,-0.101,105.000,-13.388,****"
"10.400,-182.319,-0.103,105.000,-13.674,****"
"10.600,-186.131,-0.105,105.000,-13.960,****"
"10.800,-190.084,-0.107,105.000,-14.256,****"
"11.000,-194.007,-0.109,105.000,-14.551,****"
"11.200,-198.441,-0.111,105.000,-14.883,****"
"11.400,-202.287,-0.113,105.000,-15.172,****"
"11.600,-206.497,-0.115,105.000,-15.487,****"
"11.800,-210.126,-0.117,105.000,-15.759,****"
"12.000,-214.377,-0.119,105.000,-16.078,****"
"12.200,-218.889,-0.121,105.000,-16.417,****"
"12.400,-222.696,-0.123,105.000,-16.702,****"
"12.600,-227.107,-0.125,105.000,-17.033,****"
"12.800,-231.201,-0.127,105.000,-17.340,****"
"13.000,-235.018,-0.129,105.000,-17.626,****"
"13.200,-238.723,-0.131,105.000,-17.904,****"
"13.400,-242.582,-0.133,105.000,-18.194,****"
"13.600,-246.805,-0.135,105.000,-18.510,****"
"13.800,-251.901,-0.137,105.000,-18.893,****"
"14.000,-255.585,-0.139,105.000,-19.169,****"
"14.200,-260.104,-0.141,105.000,-19.508,****"
"14.400,-263.763,-0.143,105.000,-19.782,****"
"14.600,-268.877,-0.145,105.000,-20.166,****"
"14.800,-272.410,-0.147,105.000,-20.431,****"
"15.000,-277.097,-0.149,105.000,-20.782,****"
"15.200,-281.674,-0.151,105.000,-21.126,****"
"15.400,-285.057,-0.153,105.000,-21.379,****"
"15.600,-289.954,-0.155,105.000,-21.747,****"
"15.800,-294.458,-0.157,105.000,-22.084,****"
"16.000,-298.778,-0.159,105.000,-22.408,****"
"16.200,-302.781,-0.161,105.000,-22.709,****"
"16.400,-306.989,-0.163,105.000,-23.024,****"
"16.600,-312.051,-0.165,105.000,-23.404,****"
"16.800,-316.033,-0.167,105.000,-23.702,****"
"17.000,-320.163,-0.168,105.000,-24.012,****"
"17.200,-324.834,-0.171,105.000,-24.363,****"
"17.400,-329.207,-0.173,105.000,-24.691,****"
"17.600,-333.781,-0.175,105.000,-25.034,****"
"17.800,-338.248,-0.177,105.000,-25.369,****"
"18.000,-342.883,-0.179,105.000,-25.716,****"
"18.200,-347.298,-0.180,105.000,-26.047,****"
"18.400,-350.991,-0.182,105.000,-26.324,****"
"18.600,-356.265,-0.184,105.100,-26.720,****"
"18.800,-360.215,-0.186,105.100,-27.016,****"
"19.000,-365.209,-0.188,105.100,-27.391,****"
"19.200,-370.205,-0.190,105.100,-27.765,****"
"19.400,-374.494,-0.192,105.100,-28.087,****"
"19.600,-378.924,-0.194,105.100,-28.419,****"
"19.800,-383.723,-0.196,105.100,-28.779,****"
"20.000,-388.335,-0.198,105.100,-29.125,****"
"20.200,-393.152,-0.201,105.000,-29.486,****"
"20.400,-398.145,-0.203,105.000,-29.861,****"
"20.600,-402.753,-0.205,105.000,-30.207,****"
"20.800,-408.075,-0.207,105.000,-30.606,****"
"21.000,-412.773,-0.209,105.000,-30.958,****"
"21.200,-417.584,-0.211,105.000,-31.319,****"
"21.400,-422.323,-0.213,105.000,-31.674,****"
"21.600,-427.630,-0.215,105.000,-32.072,****"
"21.800,-432.343,-0.217,105.000,-32.426,****"
"22.000,-437.384,-0.219,105.000,-32.804,****"
"22.200,-442.193,-0.221,105.000,-33.165,****"
"22.400,-447.037,-0.223,105.000,-33.528,****"
"22.600,-452.518,-0.225,105.000,-33.939,****"
"22.800,-458.936,-0.227,105.000,-34.420,****"
"23.000,-465.455,-0.229,105.000,-34.909,****"
"23.200,-471.958,-0.231,105.000,-35.397,****"
"23.400,-478.783,-0.233,105.000,-35.909,****"
"23.600,-486.210,-0.235,105.000,-36.466,****"
"23.800,-492.612,-0.237,105.000,-36.946,****"
"24.000,-500.115,-0.239,105.000,-37.509,****"
"24.200,-506.584,-0.241,105.000,-37.994,****"
"24.400,-514.201,-0.243,105.000,-38.565,****"
"24.600,-521.148,-0.245,105.000,-39.086,****"
"24.800,-528.652,-0.247,105.000,-39.649,****"
"25.000,-536.317,-0.249,105.000,-40.224,****"
"25.200,-542.790,-0.251,105.000,-40.709,****"
"25.400,-550.655,-0.253,105.000,-41.299,****"
"25.600,-558.150,-0.255,105.000,-41.861,****"
"25.800,-565.130,-0.257,105.000,-42.385,****"
"26.000,-572.628,-0.259,105.000,-42.947,****"
"26.200,-580.639,-0.261,105.000,-43.548,****"
"26.400,-587.340,-0.263,105.000,-44.050,****"
"26.600,-595.381,-0.265,105.000,-44.654,****"
"26.800,-603.334,-0.267,105.000,-45.250,****"
"27.000,-610.572,-0.269,105.000,-45.793,****"
"27.200,-619.427,-0.271,105.000,-46.457,****"
"27.400,-626.911,-0.273,105.000,-47.018,****"
"27.600,-634.827,-0.275,105.000,-47.612,****"
"27.800,-642.537,-0.277,105.000,-48.190,****"
"28.000,-650.786,-0.279,105.000,-48.809,****"
"28.200,-658.586,-0.281,105.000,-49.394,****"
"28.380,-666.045,-0.282,105.000,-49.953,****"
"28.800,-668.078,-0.284,105.000,-50.106,****"
"29.000,-658.388,-0.280,105.000,-49.379,****"
"29.200,-681.576,-0.285,105.100,-51.118,****"
"29.400,-646.911,-0.282,105.100,-48.518,****"
"29.600,-675.067,-0.282,105.100,-50.630,****"
"29.800,-665.328,-0.287,105.100,-49.900,****"
"30.000,-657.954,-0.278,105.100,-49.347,****"
"30.200,-681.530,-0.289,105.100,-51.115,****"
"30.400,-644.350,-0.279,105.100,-48.326,****"
"30.600,-691.355,-0.287,105.100,-51.852,****"
"30.800,-644.251,-0.282,105.000,-48.319,****"
"31.000,-679.950,-0.283,105.000,-50.996,****"
"31.200,-660.971,-0.286,105.000,-49.573,****"
"31.400,-662.405,-0.279,105.000,-49.680,****"
"31.600,-678.246,-0.289,105.000,-50.868,****"
"31.800,-646.808,-0.279,105.000,-48.511,****"
"32.000,-691.057,-0.288,105.000,-51.829,****"
"32.200,-642.226,-0.282,105.000,-48.167,****"
"32.400,-683.736,-0.284,105.000,-51.280,****"
"32.600,-657.191,-0.285,105.000,-49.289,****"
"32.800,-664.824,-0.280,105.000,-49.862,****"
"33.000,-675.749,-0.289,105.000,-50.681,****"
"33.200,-648.437,-0.278,105.000,-48.633,****"
"33.400,-690.035,-0.288,105.000,-51.753,****"
"33.600,-641.712,-0.281,105.000,-48.128,****"
"33.800,-684.825,-0.284,105.000,-51.362,****"
"34.000,-656.031,-0.285,105.000,-49.202,****"
"34.100,-689.848,-0.288,105.000,-51.739,****"
"34.400,-677.253,-0.287,105.000,-50.794,****"
"34.600,-685.287,-0.288,105.000,-51.397,****"
"34.800,-694.436,-0.290,105.000,-52.083,****"
"35.000,-703.810,-0.292,105.000,-52.786,****"
"35.200,-712.296,-0.294,105.000,-53.422,****"
"35.400,-720.853,-0.296,105.000,-54.064,****"
"35.600,-729.673,-0.298,105.000,-54.725,****"
"35.800,-738.588,-0.300,105.000,-55.394,****"
"36.000,-746.975,-0.302,105.000,-56.023,****"
"36.200,-755.463,-0.304,105.000,-56.660,****"
"36.400,-764.124,-0.306,105.000,-57.309,****"
"36.600,-772.880,-0.308,105.000,-57.966,****"
