"Test Method:,""3Point_Bending.msm"""

"Sample,""Spcmn"",""Width"",""Thickness"",""Peak Load"",""Peak Stress"",""Strain At Break"",""Modulus"",""Stress At Yield"",""Strain At Yield"",""Load At Yield"",""Elongation At Break"",""Elongation at Peak"",""Adjusted Gage Length"",""FlexuralStress"",""FlexuralStrain"""
"I. D.,""No."",""mm"",""mm"",""N"",""MPa"",""mm/mm"",""MPa"",""MPa"",""mm/mm"",""N"",""mm"",""mm"",""mm"",""MPa"",""mm/mm"""

"Sample34.mss,""1"",""40.000"",""5.000"",""-1.761"",""-0.0"",""****"",""****"",""-0.024"",""-0.009"",""-4.836"",""****"",""-0.003"",""3.175"",""-198.98"",""-0.013"""
"Sample34.mss,""2"",""40.000"",""5.000"",""-4.395"",""-0.0"",""****"",""****"",""-3.327"",""-0.090"",""-665.328"",""****"",""-0.003"",""3.175"",""-249.97"",""-0.009"""
"Sample34.mss,""3"",""40.000"",""5.000"",""-17.235"",""-0.1"",""****"",""****"",""-3.328"",""-0.081"",""-665.624"",""****"",""-0.003"",""3.175"",""-49.94"",""-0.005"""


"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""3"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""

"0.400,-17.235,-0.003,105.000,-1.293,****"
"0.600,-20.825,-0.005,105.000,-1.562,****"
"0.800,-24.024,-0.007,105.000,-1.802,****"
"1.000,-27.716,-0.009,105.000,-2.079,****"
"1.200,-31.062,-0.011,105.000,-2.330,****"
"1.400,-34.696,-0.013,105.000,-2.602,****"
"1.600,-38.342,-0.015,105.000,-2.876,****"
"1.800,-42.125,-0.016,105.000,-3.159,****"
"2.000,-45.438,-0.019,105.000,-3.408,****"
"2.200,-48.970,-0.020,105.000,-3.673,****"
"2.400,-52.488,-0.023,105.000,-3.937,****"
"2.600,-56.256,-0.025,105.000,-4.219,****"
"2.800,-59.832,-0.027,105.000,-4.487,****"
"3.000,-63.380,-0.029,105.000,-4.754,****"
"3.200,-66.826,-0.031,105.000,-5.012,****"
"3.400,-70.521,-0.033,105.000,-5.289,****"
"3.600,-74.231,-0.035,105.000,-5.567,****"
"3.800,-77.812,-0.037,105.000,-5.836,****"
"4.000,-81.457,-0.039,105.000,-6.109,****"
"4.200,-85.342,-0.041,105.000,-6.401,****"
"4.400,-89.481,-0.043,105.000,-6.711,****"
"4.600,-92.900,-0.045,105.000,-6.967,****"
"4.800,-97.163,-0.047,105.000,-7.287,****"
"5.000,-100.620,-0.049,105.000,-7.546,****"
"5.200,-104.638,-0.051,105.000,-7.848,****"
"5.400,-108.131,-0.053,105.000,-8.110,****"
"5.600,-112.110,-0.055,105.000,-8.408,****"
"5.800,-116.067,-0.057,105.000,-8.705,****"
"6.000,-119.548,-0.059,105.000,-8.966,****"
"6.200,-123.486,-0.061,105.000,-9.261,****"
"6.400,-127.056,-0.063,105.000,-9.529,****"
"6.600,-131.465,-0.065,105.000,-9.860,****"
"6.800,-134.927,-0.067,105.000,-10.120,****"
"7.000,-138.816,-0.069,105.000,-10.411,****"
"7.200,-142.973,-0.071,105.000,-10.723,****"
"7.400,-146.482,-0.073,105.000,-10.986,****"
"7.600,-150.470,-0.075,105.000,-11.285,****"
"7.800,-154.562,-0.077,105.000,-11.592,****"
"8.000,-158.315,-0.079,105.000,-11.874,****"
"8.200,-162.294,-0.081,105.000,-12.172,****"
"8.400,-166.133,-0.083,105.000,-12.460,****"
"8.600,-170.167,-0.085,105.000,-12.763,****"
"8.800,-174.423,-0.087,105.000,-13.082,****"
"9.000,-178.782,-0.089,105.000,-13.409,****"
"9.200,-182.819,-0.091,105.000,-13.711,****"
"9.400,-186.400,-0.093,105.000,-13.980,****"
"9.600,-190.390,-0.095,105.000,-14.279,****"
"9.800,-195.480,-0.097,105.000,-14.661,****"
"10.000,-199.062,-0.099,105.000,-14.930,****"
"10.200,-202.997,-0.101,105.000,-15.225,****"
"10.400,-207.565,-0.103,105.000,-15.567,****"
"10.600,-211.590,-0.105,105.000,-15.869,****"
"10.800,-215.384,-0.107,105.000,-16.154,****"
"11.000,-220.268,-0.109,105.000,-16.520,****"
"11.200,-224.355,-0.111,105.000,-16.827,****"
"11.400,-228.755,-0.113,105.000,-17.157,****"
"11.600,-233.245,-0.115,105.000,-17.493,****"
"11.800,-237.280,-0.117,105.000,-17.796,****"
"12.000,-241.214,-0.119,105.000,-18.091,****"
"12.200,-246.002,-0.121,105.000,-18.450,****"
"12.400,-250.435,-0.123,105.000,-18.783,****"
"12.600,-255.204,-0.125,105.000,-19.140,****"
"12.800,-259.278,-0.127,105.000,-19.446,****"
"13.000,-263.623,-0.129,105.000,-19.772,****"
"13.200,-268.064,-0.131,105.000,-20.105,****"
"13.400,-271.706,-0.132,105.000,-20.378,****"
"13.600,-276.807,-0.135,105.000,-20.761,****"
"13.800,-281.094,-0.137,105.000,-21.082,****"
"14.000,-285.522,-0.139,105.000,-21.414,****"
"14.200,-290.158,-0.141,105.000,-21.762,****"
"14.400,-294.551,-0.143,105.000,-22.091,****"
"14.600,-299.062,-0.145,105.000,-22.430,****"
"14.800,-304.129,-0.147,105.000,-22.810,****"
"15.000,-308.454,-0.149,105.000,-23.134,****"
"15.200,-312.488,-0.150,105.000,-23.437,****"
"15.400,-316.870,-0.152,105.000,-23.765,****"
"15.600,-321.772,-0.154,105.000,-24.133,****"
"15.800,-326.227,-0.156,105.000,-24.467,****"
"16.000,-330.405,-0.158,105.000,-24.780,****"
"16.200,-335.272,-0.160,105.000,-25.145,****"
"16.400,-339.758,-0.162,105.000,-25.482,****"
"16.600,-344.023,-0.164,105.000,-25.802,****"
"16.800,-348.439,-0.166,105.000,-26.133,****"
"17.000,-353.516,-0.168,105.000,-26.514,****"
"17.200,-358.059,-0.170,105.000,-26.854,****"
"17.400,-362.545,-0.172,105.000,-27.191,****"
