FLUKE 287,  V1.16,  38020004

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
1/23/2019 2:19:14 PM,1/23/2019 5:36:35 PM,3:17:22,5:00:00,760,1,760,
Max Time,Max,,Average,,Min,,Min Time,Scaling,
1/23/2019 2:22:54 PM,102.1,°C,37.5949766080621,°C,-35.5,°C,1/23/2019 3:52:40 PM,(none)

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,100.6,°C,1/23/2019 14:19:13.8,0:06:06.6,1/23/2019 14:22:53.9,102.1,°C,100.479284239504,°C,1/23/2019 14:25:11.5,96.6,°C,Stable,1/23/2019 14:25:20.5
2,96.5,°C,1/23/2019 14:25:20.5,0:02:09.9,1/23/2019 14:25:25.0,96.8,°C,94.7714285714284,°C,1/23/2019 14:27:24.7,92.7,°C,Stable,1/23/2019 14:27:30.3
3,92.5,°C,1/23/2019 14:27:30.3,0:01:55.7,1/23/2019 14:27:34.5,93,°C,91.150982532751,°C,1/23/2019 14:29:25.6,88.9,°C,Stable,1/23/2019 14:29:26.0
4,88.7,°C,1/23/2019 14:29:26.0,0:02:00.1,1/23/2019 14:29:30.8,89.5,°C,87.6763157894737,°C,1/23/2019 14:31:17.4,85.2,°C,Stable,1/23/2019 14:31:26.1
5,85.1,°C,1/23/2019 14:31:26.1,0:01:44.7,1/23/2019 14:31:31.3,86.2,°C,84.0702898550723,°C,1/23/2019 14:33:10.4,81.7,°C,Stable,1/23/2019 14:33:10.8
6,81.4,°C,1/23/2019 14:33:10.8,0:01:53.8,1/23/2019 14:33:47.1,83.2,°C,81.3789766407118,°C,1/23/2019 14:35:04.0,78.3,°C,Stable,1/23/2019 14:35:04.5
7,78,°C,1/23/2019 14:35:04.5,0:02:10.8,1/23/2019 14:35:52.8,79.2,°C,77.9542912246865,°C,1/23/2019 14:37:15.0,75.3,°C,Stable,1/23/2019 14:37:15.3
8,74.7,°C,1/23/2019 14:37:15.3,0:01:33.6,1/23/2019 14:37:24.8,77,°C,75.1132253711201,°C,1/23/2019 14:38:48.6,71.9,°C,Stable,1/23/2019 14:38:48.9
9,70.1,°C,1/23/2019 14:38:48.9,0:00:02.3,1/23/2019 14:38:48.9,70.1,°C,67.3,°C,1/23/2019 14:38:50.7,64.7,°C,Unstable,1/23/2019 14:38:51.2
10,63.9,°C,1/23/2019 14:38:51.2,0:00:01.5,1/23/2019 14:38:51.2,63.9,°C,63.1333333333333,°C,1/23/2019 14:38:52.3,62.5,°C,Stable,1/23/2019 14:38:52.7
11,60,°C,1/23/2019 14:38:52.7,0:00:01.0,1/23/2019 14:38:52.7,60,°C,59.35,°C,1/23/2019 14:38:53.5,57.8,°C,Unstable,1/23/2019 14:38:53.7
12,56.8,°C,1/23/2019 14:38:53.7,0:00:03.0,1/23/2019 14:38:56.4,58.2,°C,56.2791666666667,°C,1/23/2019 14:38:55.3,55.2,°C,Stable,1/23/2019 14:38:56.8
13,59.9,°C,1/23/2019 14:38:56.8,0:00:01.8,1/23/2019 14:38:56.8,59.9,°C,59.1714285714286,°C,1/23/2019 14:38:58.3,58.1,°C,Stable,1/23/2019 14:38:58.6
14,57.4,°C,1/23/2019 14:38:58.6,0:00:01.2,1/23/2019 14:38:58.6,57.4,°C,56.6777777777778,°C,1/23/2019 14:38:59.5,55.5,°C,Unstable,1/23/2019 14:38:59.7
15,55.1,°C,1/23/2019 14:38:59.7,0:00:04.2,1/23/2019 14:39:02.0,56.3,°C,55.0636363636364,°C,1/23/2019 14:39:03.5,53.5,°C,Stable,1/23/2019 14:39:03.9
16,51.5,°C,1/23/2019 14:39:03.9,0:00:01.1,1/23/2019 14:39:03.9,51.5,°C,49.3,°C,1/23/2019 14:39:04.6,47.3,°C,Unstable,1/23/2019 14:39:05.0
17,46.5,°C,1/23/2019 14:39:05.0,0:00:03.7,1/23/2019 14:39:07.6,46.9,°C,46.5310344827586,°C,1/23/2019 14:39:08.4,45.3,°C,Stable,1/23/2019 14:39:08.7
18,44.3,°C,1/23/2019 14:39:08.7,0:00:03.8,1/23/2019 14:39:12.1,45.8,°C,44.8633333333333,°C,1/23/2019 14:39:08.7,44.3,°C,Stable,1/23/2019 14:39:12.5
19,49.3,°C,1/23/2019 14:39:12.5,0:00:02.6,1/23/2019 14:39:14.8,57.1,°C,53.7,°C,1/23/2019 14:39:12.5,49.3,°C,Unstable,1/23/2019 14:39:15.1
20,57.6,°C,1/23/2019 14:39:15.1,0:00:01.4,1/23/2019 14:39:16.3,59.7,°C,58.6090909090909,°C,1/23/2019 14:39:15.1,57.6,°C,Unstable,1/23/2019 14:39:16.5
