FLUKE 287,  V1.16,  38020004

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
1/23/2019 9:27:54 AM,1/23/2019 1:54:32 PM,4:26:38,5:00:00,499,1,499,
Max Time,Max,,Average,,Min,,Min Time,Scaling,
1/23/2019 9:28:19 AM,99.4,°C,35.6243777909505,°C,-23.2,°C,1/23/2019 11:40:58 AM,(none)

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,99.1,°C,1/23/2019 9:27:54.0,0:04:10.7,1/23/2019 9:28:18.8,99.4,°C,98.3886478304742,°C,1/23/2019 9:32:02.8,95.2,°C,Stable,1/23/2019 9:32:04.7
2,95.1,°C,1/23/2019 9:32:04.7,0:01:29.0,1/23/2019 9:32:04.7,95.1,°C,93.278125,°C,1/23/2019 9:33:32.6,91.3,°C,Stable,1/23/2019 9:33:33.8
3,91.2,°C,1/23/2019 9:33:33.8,0:01:23.4,1/23/2019 9:33:34.5,91.3,°C,89.4283763277693,°C,1/23/2019 9:34:56.8,87.6,°C,Stable,1/23/2019 9:34:57.2
4,87.5,°C,1/23/2019 9:34:57.2,0:01:16.7,1/23/2019 9:34:57.2,87.5,°C,85.8337726523888,°C,1/23/2019 9:36:13.2,84.1,°C,Stable,1/23/2019 9:36:13.9
5,84,°C,1/23/2019 9:36:13.9,0:01:11.4,1/23/2019 9:36:13.9,84,°C,82.4028368794326,°C,1/23/2019 9:37:16.3,80.7,°C,Stable,1/23/2019 9:37:25.3
6,80.6,°C,1/23/2019 9:37:25.3,0:01:10.8,1/23/2019 9:37:25.3,80.6,°C,78.9739285714285,°C,1/23/2019 9:38:30.9,77.4,°C,Stable,1/23/2019 9:38:36.1
7,77.3,°C,1/23/2019 9:38:36.1,0:01:03.6,1/23/2019 9:38:36.1,77.3,°C,75.6690476190477,°C,1/23/2019 9:39:33.2,74.3,°C,Stable,1/23/2019 9:39:39.6
8,74.2,°C,1/23/2019 9:39:39.6,0:00:44.6,1/23/2019 9:39:39.6,74.2,°C,72.815909090909,°C,1/23/2019 9:40:23.7,71.4,°C,Stable,1/23/2019 9:40:24.2
9,71.2,°C,1/23/2019 9:40:24.2,0:00:50.0,1/23/2019 9:40:29.8,71.4,°C,70.0848484848485,°C,1/23/2019 9:41:13.9,68.4,°C,Stable,1/23/2019 9:41:14.2
10,68.3,°C,1/23/2019 9:41:14.2,0:00:52.8,1/23/2019 9:41:14.2,68.3,°C,66.7642685851319,°C,1/23/2019 9:42:06.6,65.6,°C,Stable,1/23/2019 9:42:07.0
11,65.4,°C,1/23/2019 9:42:07.0,0:00:43.1,1/23/2019 9:42:11.9,65.6,°C,64.4727272727273,°C,1/23/2019 9:42:49.7,62.8,°C,Stable,1/23/2019 9:42:50.1
12,62.6,°C,1/23/2019 9:42:50.1,0:00:49.5,1/23/2019 9:42:55.3,63,°C,61.8875,°C,1/23/2019 9:43:39.0,60.1,°C,Stable,1/23/2019 9:43:39.5
13,60,°C,1/23/2019 9:43:39.5,0:00:42.9,1/23/2019 9:43:44.4,60.6,°C,59.2315634218289,°C,1/23/2019 9:44:22.2,57.7,°C,Stable,1/23/2019 9:44:22.4
14,57.6,°C,1/23/2019 9:44:22.4,0:00:50.6,1/23/2019 9:44:27.0,58.3,°C,56.97025,°C,1/23/2019 9:45:07.0,55.3,°C,Stable,1/23/2019 9:45:13.1
15,55.1,°C,1/23/2019 9:45:13.1,0:00:27.2,1/23/2019 9:45:13.1,55.1,°C,53.9841860465117,°C,1/23/2019 9:45:40.0,52.9,°C,Stable,1/23/2019 9:45:40.3
16,52.8,°C,1/23/2019 9:45:40.3,0:00:39.2,1/23/2019 9:45:45.9,53.4,°C,52.1721682847896,°C,1/23/2019 9:46:19.3,50.7,°C,Stable,1/23/2019 9:46:19.5
17,50.5,°C,1/23/2019 9:46:19.5,0:00:47.7,1/23/2019 9:46:25.6,50.9,°C,49.9071428571428,°C,1/23/2019 9:47:06.7,48.5,°C,Stable,1/23/2019 9:47:07.2
18,48.4,°C,1/23/2019 9:47:07.2,0:00:30.3,1/23/2019 9:47:10.5,48.6,°C,47.5364016736402,°C,1/23/2019 9:47:37.0,46.6,°C,Stable,1/23/2019 9:47:37.5
19,46.4,°C,1/23/2019 9:47:37.5,0:00:41.9,1/23/2019 9:47:43.0,47,°C,45.9039274924472,°C,1/23/2019 9:48:19.0,44.6,°C,Stable,1/23/2019 9:48:19.4
20,44.5,°C,1/23/2019 9:48:19.4,0:00:20.5,1/23/2019 9:48:19.4,44.5,°C,43.8296296296296,°C,1/23/2019 9:48:39.5,42.8,°C,Stable,1/23/2019 9:48:39.9
21,42.6,°C,1/23/2019 9:48:39.9,0:00:17.6,1/23/2019 9:48:45.9,42.8,°C,42.0185714285714,°C,1/23/2019 9:48:57.2,40.9,°C,Stable,1/23/2019 9:48:57.5
22,40.8,°C,1/23/2019 9:48:57.5,0:00:41.2,1/23/2019 9:49:02.3,41.5,°C,40.3322085889571,°C,1/23/2019 9:49:30.9,39.2,°C,Stable,1/23/2019 9:49:38.6
