FLUKE 287,  V1.16,38020004,,,,,,,,,,,,
,,,,,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,,,,,
1/23/2019 17:43,1/23/2019 21:00,3:17:01,5:00:00,476,1,476,,,,,,,,
Max Time,Max,,Average,,Min,,Min Time,Scaling,,,,,,
1/23/2019 17:47,101.9,°C,38.4299534,°C,-35.7,°C,1/23/2019 19:15,(none),,,,,,
,,,,,,,,,,,,,,
Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,101.5,°C,43:21.2,08:50.1,47:55.0,101.9,°C,100.9103309,°C,52:03.0,97.5,°C,Stable,52:11.3
2,97.4,°C,52:11.3,02:37.1,52:11.3,97.4,°C,95.6011254,°C,54:43.5,93.6,°C,Stable,54:48.4
3,93.5,°C,54:48.4,01:56.8,54:48.4,93.5,°C,91.81762162,°C,56:44.3,89.9,°C,Stable,56:45.2
4,89.7,°C,56:45.2,02:18.6,56:52.3,90.2,°C,87.91994536,°C,58:55.0,86.2,°C,Stable,59:03.9
5,86.1,°C,59:03.9,01:47.5,59:03.9,86.1,°C,84.56396714,°C,00:50.5,82.7,°C,Stable,00:51.4
6,82.6,°C,00:51.4,02:12.0,00:55.0,83.2,°C,81.21644359,°C,03:02.9,79.3,°C,Stable,03:03.3
7,79,°C,03:03.3,02:01.6,03:03.3,79,°C,77.4408949,°C,04:32.4,75.9,°C,Stable,05:04.9
8,75.8,°C,05:04.9,01:26.7,05:08.6,76,°C,74.62638484,°C,06:31.4,72.8,°C,Stable,06:31.6
9,72.7,°C,06:31.6,01:45.5,06:36.6,73.4,°C,71.77093301,°C,08:16.8,69.8,°C,Stable,08:17.2
10,69.7,°C,08:17.2,01:01.1,08:17.2,69.7,°C,68.54235537,°C,09:17.7,67,°C,Stable,09:18.2
11,66.9,°C,09:18.2,01:19.1,09:22.3,67.5,°C,65.82547771,°C,10:35.6,64.3,°C,Stable,10:37.3
