Filename:	C:\Program Files\Pyris\Data\Mingear\2019 SLMs\SandiaSLM50_3_asispowder.dcd 
Operator ID:	Mingear 
Sample ID:	SLM 50.3 as is powder 
Comment: 	Al with lid 
Serial Number:	 
Data Collected:	11/21/2019 4:26:25 PM 
Sample Weight:	60.200 mg 
Display Weight:	60.200 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\Indium 28Apr2017.dcc 
Date/Time:	 
Initial Conditions 
Temperature:	 110.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	C:\Program Files\Pyris\Data\Mingear\2019 SLMs\SandiaSLM50_3_BL.dcd 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 2.0 min at 110.00°C 
 
2)	Cool from 110.00°C to -10.00°C at 10.00°C/min 
 
3)	Hold for 2.0 min at -10.00°C 
 
4)	Heat from -10.00°C to 110.00°C at 10.00°C/min 
 
5)	Hold for 2.0 min at 110.00°C 
 
6)	Cool from 110.00°C to -10.00°C at 5.00°C/min 
 
7)	Hold for 2.0 min at -10.00°C 
 
8)	Heat from -10.00°C to 150.00°C at 5.00°C/min 
 
1) DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow      
	0.000000	16.854884	0.000000	110.000000	94.633000	0.000000 
	0.016667	-36.951067	0.000000	110.000000	97.960000	0.000000 
	0.033333	-84.729194	0.000000	110.000000	100.804000	0.000000 
	0.050000	-111.938174	0.000000	110.000000	102.903000	0.000000 
	0.066667	-143.785539	0.000000	110.000000	104.362000	0.000000 
	0.083333	-179.030044	0.000000	110.000000	105.355000	0.000000 
	0.100000	-211.410720	0.000000	110.000000	106.029000	0.000000 
	0.116667	-238.439766	0.000000	110.000000	106.490000	0.000000 
	0.133333	-260.499233	0.000000	110.000000	106.809000	0.000000 
	0.150000	-278.507428	0.000000	110.000000	107.031000	0.000000 
	0.166667	-293.154115	0.000000	110.000000	107.190000	0.000000 
	0.183333	-304.872550	0.000000	110.000000	107.304000	0.000000 
	0.200000	-313.969269	0.000000	110.000000	107.388000	0.000000 
	0.216667	-320.836467	0.000000	110.000000	107.447000	0.000000 
	0.233333	-325.907400	0.000000	110.000000	107.493000	0.000000 
	0.250000	-329.606710	0.000000	110.000000	107.525000	0.000000 
	0.266667	-332.287893	0.000000	110.000000	107.548000	0.000000 
	0.283333	-334.235184	0.000000	110.000000	107.566000	0.000000 
	0.300000	-335.647513	0.000000	110.000000	107.581000	0.000000 
	0.316667	-336.673781	0.000000	110.000000	107.591000	0.000000 
	0.333333	-337.421006	0.000000	110.000000	107.599000	0.000000 
	0.350000	-337.968829	0.000000	110.000000	107.604000	0.000000 
	0.366667	-338.367632	0.000000	110.000000	107.608000	0.000000 
	0.383333	-338.655407	0.000000	110.000000	107.612000	0.000000 
	0.400000	-338.866844	0.000000	110.000000	107.614000	0.000000 
	0.416667	-339.021999	0.000000	110.000000	107.617000	0.000000 
	0.433333	-339.131729	0.000000	110.000000	107.618000	0.000000 
	0.450000	-339.214321	0.000000	110.000000	107.619000	0.000000 
	0.466667	-339.278035	0.000000	110.000000	107.620000	0.000000 
	0.483333	-339.323697	0.000000	110.000000	107.621000	0.000000 
	0.500000	-339.354138	0.000000	110.000000	107.621000	0.000000 
	0.516667	-339.379152	0.000000	110.000000	107.623000	0.000000 
	0.533333	-339.396496	0.000000	110.000000	107.623000	0.000000 
	0.550000	-339.408531	0.000000	110.000000	107.623000	0.000000 
	0.566667	-339.412779	0.000000	110.000000	107.624000	0.000000 
	0.583333	-339.421628	0.000000	110.000000	107.624000	0.000000 
	0.600000	-339.424224	0.000000	110.000000	107.625000	0.000000 
	0.616667	-339.426584	0.000000	110.000000	107.626000	0.000000 
	0.633333	-339.426466	0.000000	110.000000	107.627000	0.000000 
	0.650000	-339.428707	0.000000	110.000000	107.627000	0.000000 
	0.666667	-339.426820	0.000000	110.000000	107.627000	0.000000 
	0.683333	-339.425522	0.000000	110.000000	107.627000	0.000000 
	0.700000	-339.425522	0.000000	110.000000	107.627000	0.000000 
	0.716667	-339.425994	0.000000	110.000000	107.627000	0.000000 
	0.733333	-339.424932	0.000000	110.000000	107.626000	0.000000 
	0.750000	-339.426938	0.000000	110.000000	107.626000	0.000000 
	0.766667	-339.424814	0.000000	110.000000	107.628000	0.000000 
	0.783333	-339.419622	0.000000	110.000000	107.628000	0.000000 
	0.800000	-339.419032	0.000000	110.000000	107.628000	0.000000 
	0.816667	-339.416791	0.000000	110.000000	107.628000	0.000000 
	0.833333	-339.417734	0.000000	110.000000	107.629000	0.000000 
	0.850000	-339.416437	0.000000	110.000000	107.630000	0.000000 
	0.866667	-339.413251	0.000000	110.000000	107.630000	0.000000 
	0.883333	-339.411599	0.000000	110.000000	107.629000	0.000000 
	0.900000	-339.408885	0.000000	110.000000	107.629000	0.000000 
	0.916667	-339.413251	0.000000	110.000000	107.629000	0.000000 
	0.933333	-339.414077	0.000000	110.000000	107.629000	0.000000 
	0.950000	-339.411127	0.000000	110.000000	107.629000	0.000000 
	0.966667	-339.410065	0.000000	110.000000	107.630000	0.000000 
	0.983333	-339.406525	0.000000	110.000000	107.629000	0.000000 
	1.000000	-339.403104	0.000000	110.000000	107.630000	0.000000 
	1.016667	-339.403694	0.000000	110.000000	107.630000	0.000000 
	1.033333	-339.404284	0.000000	110.000000	107.633000	0.000000 
	1.050000	-339.405464	0.000000	110.000000	107.633000	0.000000 
	1.066667	-339.401570	0.000000	110.000000	107.632000	0.000000 
	1.083333	-339.398384	0.000000	110.000000	107.633000	0.000000 
	1.100000	-339.398738	0.000000	110.000000	107.634000	0.000000 
	1.116667	-339.398738	0.000000	110.000000	107.632000	0.000000 
	1.133333	-339.397204	0.000000	110.000000	107.633000	0.000000 
	1.150000	-339.394845	0.000000	110.000000	107.632000	0.000000 
	1.166667	-339.395670	0.000000	110.000000	107.632000	0.000000 
	1.183333	-339.395670	0.000000	110.000000	107.634000	0.000000 
	1.200000	-339.394255	0.000000	110.000000	107.634000	0.000000 
	1.216667	-339.394255	0.000000	110.000000	107.635000	0.000000 
	1.233333	-339.393075	0.000000	110.000000	107.635000	0.000000 
	1.250000	-339.389417	0.000000	110.000000	107.635000	0.000000 
	1.266667	-339.390833	0.000000	110.000000	107.636000	0.000000 
	1.283333	-339.392131	0.000000	110.000000	107.636000	0.000000 
	1.300000	-339.390479	0.000000	110.000000	107.636000	0.000000 
	1.316667	-339.388119	0.000000	110.000000	107.636000	0.000000 
	1.333333	-339.385287	0.000000	110.000000	107.636000	0.000000 
	1.350000	-339.388237	0.000000	110.000000	107.636000	0.000000 
	1.366667	-339.389771	0.000000	110.000000	107.637000	0.000000 
	1.383333	-339.387647	0.000000	110.000000	107.637000	0.000000 
	1.400000	-339.385169	0.000000	110.000000	107.637000	0.000000 
	1.416667	-339.384226	0.000000	110.000000	107.637000	0.000000 
	1.433333	-339.383518	0.000000	110.000000	107.637000	0.000000 
	1.450000	-339.380450	0.000000	110.000000	107.638000	0.000000 
	1.466667	-339.379860	0.000000	110.000000	107.637000	0.000000 
	1.483333	-339.382692	0.000000	110.000000	107.637000	0.000000 
	1.500000	-339.384815	0.000000	110.000000	107.637000	0.000000 
	1.516667	-339.383636	0.000000	110.000000	107.637000	0.000000 
	1.533333	-339.383046	0.000000	110.000000	107.638000	0.000000 
	1.550000	-339.381040	0.000000	110.000000	107.638000	0.000000 
	1.566667	-339.376792	0.000000	110.000000	107.639000	0.000000 
	1.583333	-339.375848	0.000000	110.000000	107.638000	0.000000 
	1.600000	-339.379388	0.000000	110.000000	107.638000	0.000000 
	1.616667	-339.379624	0.000000	110.000000	107.639000	0.000000 
	1.633333	-339.378798	0.000000	110.000000	107.640000	0.000000 
	1.650000	-339.375848	0.000000	110.000000	107.639000	0.000000 
	1.666667	-339.376792	0.000000	110.000000	107.639000	0.000000 
	1.683333	-339.377028	0.000000	110.000000	107.638000	0.000000 
	1.700000	-339.375848	0.000000	110.000000	107.639000	0.000000 
	1.716667	-339.375730	0.000000	110.000000	107.639000	0.000000 
	1.733333	-339.375376	0.000000	110.000000	107.639000	0.000000 
	1.750000	-339.374196	0.000000	110.000000	107.639000	0.000000 
	1.766667	-339.374432	0.000000	110.000000	107.638000	0.000000 
	1.783333	-339.373960	0.000000	110.000000	107.638000	0.000000 
	1.800000	-339.371483	0.000000	110.000000	107.639000	0.000000 
	1.816667	-339.370657	0.000000	110.000000	107.638000	0.000000 
	1.833333	-339.373253	0.000000	110.000000	107.639000	0.000000 
	1.850000	-339.374668	0.000000	110.000000	107.638000	0.000000 
	1.866667	-339.374668	0.000000	110.000000	107.639000	0.000000 
	1.883333	-339.375494	0.000000	110.000000	107.639000	0.000000 
	1.900000	-339.374078	0.000000	110.000000	107.639000	0.000000 
	1.916667	-339.372309	0.000000	110.000000	107.639000	0.000000 
	1.933333	-339.371247	0.000000	110.000000	107.640000	0.000000 
	1.950000	-339.370657	0.000000	110.000000	107.640000	0.000000 
	1.966667	-339.370303	0.000000	110.000000	107.641000	0.000000 
	1.983333	-339.368533	0.000000	110.000000	107.640000	0.000000 
2) DSC Temperature Scan 
	2.000000	-339.424578	0.000000	109.995000	107.639000	0.000000 
	2.016667	-339.191431	0.000000	109.829000	107.639000	0.000000 
	2.033333	-339.450771	0.234208	109.662000	107.623000	0.000000 
	2.050000	-339.909631	-0.009439	109.495000	107.578000	0.000000 
	2.066667	-340.342650	-0.295445	109.329000	107.504000	0.000000 
	2.083333	-340.947698	-0.194918	109.162000	107.401000	0.000000 
	2.100000	-341.710969	0.102179	108.995000	107.283000	0.000000 
	2.116667	-342.529459	0.426058	108.829000	107.148000	0.000000 
	2.133333	-343.290843	0.694247	108.662000	107.004000	0.000000 
	2.150000	-343.950873	0.886098	108.495000	106.853000	0.000000 
	2.166667	-344.489257	1.025561	108.329000	106.696000	0.000000 
	2.183333	-344.919445	1.124672	108.162000	106.537000	0.000000 
	2.200000	-345.246039	1.190037	107.995000	106.374000	0.000000 
	2.216667	-345.485439	1.240419	107.829000	106.211000	0.000000 
	2.233333	-345.664074	1.285491	107.662000	106.046000	0.000000 
	2.250000	-345.797992	1.322185	107.495000	105.881000	0.000000 
	2.266667	-345.885540	1.356166	107.329000	105.714000	0.000000 
	2.283333	-345.947366	1.386961	107.162000	105.546000	0.000000 
	2.300000	-345.985122	1.417166	106.995000	105.380000	0.000000 
	2.316667	-346.007894	1.447372	106.829000	105.212000	0.000000 
	2.333333	-346.013440	1.482178	106.662000	105.044000	0.000000 
	2.350000	-346.014266	1.510496	106.495000	104.875000	0.000000 
	2.366667	-346.001759	1.534683	106.329000	104.707000	0.000000 
	2.383333	-345.993499	1.564889	106.162000	104.540000	0.000000 
	2.400000	-345.975093	1.591672	105.995000	104.371000	0.000000 
	2.416667	-345.951259	1.619046	105.829000	104.203000	0.000000 
	2.433333	-345.930257	1.649369	105.662000	104.036000	0.000000 
	2.450000	-345.907132	1.679574	105.495000	103.868000	0.000000 
	2.466667	-345.880938	1.706357	105.329000	103.701000	0.000000 
	2.483333	-345.852621	1.733495	105.162000	103.533000	0.000000 
	2.500000	-345.827961	1.763582	104.995000	103.364000	0.000000 
	2.516667	-345.797992	1.788950	104.829000	103.196000	0.000000 
