"MTS Start (HH:MM:SS) 09:32:03
"Test Method","3Point_Bending.msm"
"Sample I. D.","Sample34.mss"
"Specimen Number","1"

"Time (s)","Load (N)","Extension (mm)","_COM1 (C)","FlexureStress (MPa)","FlexureStrain (mm/mm)"

0.400,-1.761,-0.003,104.100,-0.132,****
0.600,-2.358,-0.005,104.100,-0.177,****
0.800,-2.506,-0.007,104.100,-0.188,****
1.000,-2.898,-0.009,104.100,-0.217,****
1.200,-2.969,-0.011,104.100,-0.223,****
1.400,-3.320,-0.013,104.100,-0.249,****
1.600,-3.838,-0.015,104.100,-0.288,****
1.800,-4.017,-0.017,104.100,-0.301,****
2.000,-4.030,-0.019,104.100,-0.302,****
2.200,-4.318,-0.021,104.100,-0.324,****
2.400,-4.472,-0.023,104.100,-0.335,****
2.600,-4.555,-0.025,104.100,-0.342,****
2.800,-5.031,-0.027,104.100,-0.377,****
3.000,-4.836,-0.029,104.100,-0.363,****
3.200,-5.514,-0.031,104.100,-0.414,****
3.400,-5.525,-0.033,104.100,-0.414,****
3.600,-5.650,-0.035,104.100,-0.424,****
3.800,-5.701,-0.037,104.100,-0.428,****
4.000,-5.814,-0.039,104.100,-0.436,****
4.200,-6.114,-0.041,104.100,-0.459,****
4.400,-6.492,-0.043,104.100,-0.487,****
4.600,-6.362,-0.045,104.100,-0.477,****
4.800,-6.572,-0.047,104.100,-0.493,****
5.000,-6.683,-0.049,104.100,-0.501,****
5.200,-7.196,-0.051,104.100,-0.540,****
5.400,-7.182,-0.053,104.100,-0.539,****
5.600,-7.078,-0.055,104.100,-0.531,****
5.800,-6.936,-0.057,104.100,-0.520,****
6.000,-7.275,-0.059,104.100,-0.546,****
6.200,-7.368,-0.061,104.100,-0.553,****
6.400,-7.434,-0.063,104.100,-0.558,****
6.600,-7.488,-0.065,104.100,-0.562,****
6.800,-7.435,-0.067,104.100,-0.558,****
7.000,-7.681,-0.069,104.100,-0.576,****
7.200,-7.871,-0.071,104.100,-0.590,****
7.400,-7.687,-0.073,104.100,-0.576,****
7.600,-7.994,-0.075,104.100,-0.600,****
7.800,-8.001,-0.077,104.200,-0.600,****
8.000,-8.443,-0.079,104.200,-0.633,****
8.200,-8.266,-0.081,104.200,-0.620,****
8.400,-8.285,-0.083,104.200,-0.621,****
8.600,-8.182,-0.085,104.200,-0.614,****
8.800,-8.198,-0.087,104.200,-0.615,****
9.000,-8.422,-0.089,104.200,-0.632,****
9.200,-8.459,-0.091,104.200,-0.634,****
9.400,-8.558,-0.093,104.200,-0.642,****
9.600,-8.647,-0.095,104.200,-0.649,****
9.800,-8.597,-0.097,104.200,-0.645,****
10.000,-8.692,-0.099,104.200,-0.652,****
10.200,-8.867,-0.101,104.200,-0.665,****
10.400,-8.814,-0.103,104.200,-0.661,****
10.600,-8.715,-0.105,104.200,-0.654,****
10.800,-8.883,-0.107,104.200,-0.666,****
11.000,-9.175,-0.109,104.200,-0.688,****
11.200,-9.165,-0.111,104.200,-0.687,****
11.400,-8.946,-0.113,104.200,-0.671,****
11.600,-8.796,-0.115,104.200,-0.660,****
11.800,-8.956,-0.117,104.200,-0.672,****
12.000,-9.046,-0.119,104.200,-0.678,****
12.200,-8.897,-0.121,104.200,-0.667,****
12.400,-9.010,-0.123,104.200,-0.676,****
12.600,-8.920,-0.125,104.200,-0.669,****
12.800,-8.894,-0.127,104.200,-0.667,****
13.000,-8.970,-0.129,104.200,-0.673,****
13.200,-9.070,-0.131,104.200,-0.680,****
13.400,-9.197,-0.133,104.200,-0.690,****
13.600,-9.203,-0.135,104.200,-0.690,****
13.800,-9.293,-0.137,104.200,-0.697,****
14.000,-9.120,-0.139,104.200,-0.684,****
14.200,-9.328,-0.141,104.200,-0.700,****
14.400,-9.238,-0.143,104.200,-0.693,****
14.600,-9.074,-0.145,104.200,-0.681,****
14.800,-9.022,-0.147,104.200,-0.677,****
15.000,-9.117,-0.149,104.200,-0.684,****
15.200,-9.113,-0.151,104.200,-0.683,****
15.400,-9.206,-0.153,104.200,-0.690,****
15.600,-9.242,-0.155,104.200,-0.693,****
15.800,-9.292,-0.157,104.200,-0.697,****
16.000,-9.238,-0.159,104.200,-0.693,****
16.200,-9.251,-0.161,104.200,-0.694,****
16.400,-9.269,-0.163,104.200,-0.695,****
16.600,-9.270,-0.165,104.200,-0.695,****
16.800,-9.375,-0.167,104.200,-0.703,****
17.000,-9.435,-0.169,104.200,-0.708,****
17.200,-9.306,-0.171,104.200,-0.698,****
17.400,-9.346,-0.173,104.200,-0.701,****
17.600,-9.522,-0.175,104.200,-0.714,****
17.800,-9.730,-0.177,104.200,-0.730,****
18.000,-9.624,-0.179,104.200,-0.722,****
18.200,-9.609,-0.181,104.200,-0.721,****
18.400,-9.661,-0.183,104.200,-0.725,****
18.600,-9.771,-0.185,104.200,-0.733,****
18.800,-9.869,-0.187,104.200,-0.740,****
19.000,-9.735,-0.189,104.200,-0.730,****
19.200,-9.853,-0.191,104.200,-0.739,****
19.400,-9.977,-0.193,104.200,-0.748,****
19.600,-9.926,-0.195,104.200,-0.744,****
19.800,-10.074,-0.197,104.200,-0.756,****
20.000,-10.202,-0.199,104.200,-0.765,****
20.200,-10.283,-0.201,104.200,-0.771,****
20.400,-10.242,-0.203,104.200,-0.768,****
20.600,-10.048,-0.205,104.200,-0.754,****
20.800,-10.211,-0.207,104.200,-0.766,****
21.000,-10.213,-0.209,104.200,-0.766,****
21.200,-10.205,-0.211,104.200,-0.765,****
21.400,-10.103,-0.213,104.200,-0.758,****
21.600,-10.178,-0.215,104.200,-0.763,****
21.800,-10.268,-0.217,104.200,-0.770,****
22.000,-10.452,-0.219,104.200,-0.784,****
22.200,-10.561,-0.221,104.200,-0.792,****
22.400,-10.476,-0.223,104.200,-0.786,****
22.600,-10.550,-0.225,104.200,-0.791,****
22.800,-10.638,-0.227,104.200,-0.798,****
23.000,-10.611,-0.229,104.200,-0.796,****
23.200,-10.948,-0.231,104.200,-0.821,****
23.400,-10.938,-0.233,104.200,-0.820,****
23.600,-11.875,-0.235,104.200,-0.891,****
23.800,-13.582,-0.237,104.200,-1.019,****
24.000,-14.897,-0.239,104.200,-1.117,****
24.200,-16.466,-0.241,104.200,-1.235,****
24.400,-18.153,-0.243,104.200,-1.361,****
24.600,-19.839,-0.245,104.200,-1.488,****
24.800,-20.842,-0.247,104.200,-1.563,****
25.000,-21.297,-0.249,104.200,-1.597,****
25.200,-21.673,-0.251,104.200,-1.625,****
25.400,-22.816,-0.253,104.200,-1.711,****
25.600,-25.043,-0.255,104.200,-1.878,****
25.800,-27.706,-0.257,104.200,-2.078,****
26.000,-30.669,-0.259,104.200,-2.300,****
26.200,-32.875,-0.261,104.200,-2.466,****
26.400,-36.005,-0.263,104.200,-2.700,****
26.600,-39.299,-0.265,104.200,-2.947,****
26.800,-42.333,-0.267,104.200,-3.175,****
27.000,-45.452,-0.269,104.200,-3.409,****
27.200,-48.497,-0.271,104.200,-3.637,****
27.400,-52.203,-0.273,104.200,-3.915,****
27.600,-55.335,-0.275,104.200,-4.150,****
27.800,-58.708,-0.277,104.200,-4.403,****
28.000,-62.292,-0.279,104.200,-4.672,****
28.200,-65.470,-0.281,104.200,-4.910,****
28.400,-68.882,-0.283,104.200,-5.166,****
28.600,-72.564,-0.285,104.200,-5.442,****
28.800,-75.631,-0.287,104.200,-5.672,****
29.000,-79.110,-0.289,104.200,-5.933,****
29.200,-82.741,-0.291,104.200,-6.206,****
29.400,-86.298,-0.293,104.200,-6.472,****
29.600,-89.974,-0.295,104.200,-6.748,****
29.800,-93.259,-0.297,104.200,-6.994,****
30.000,-96.980,-0.299,104.200,-7.274,****
30.200,-100.625,-0.301,104.200,-7.547,****
30.400,-104.126,-0.303,104.200,-7.809,****
30.600,-107.876,-0.305,104.300,-8.091,****
30.800,-111.328,-0.307,104.300,-8.350,****
31.000,-114.851,-0.309,104.300,-8.614,****
31.200,-118.770,-0.311,104.300,-8.908,****
31.400,-122.017,-0.313,104.300,-9.151,****
31.600,-125.797,-0.315,104.300,-9.435,****
31.800,-129.548,-0.317,104.300,-9.716,****
32.000,-133.138,-0.319,104.300,-9.985,****
32.200,-136.910,-0.321,104.300,-10.268,****
32.400,-140.504,-0.323,104.300,-10.538,****
32.600,-144.269,-0.325,104.300,-10.820,****
32.800,-148.016,-0.327,104.300,-11.101,****
33.000,-151.556,-0.329,104.300,-11.367,****
