"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""

"0.001,77.872,0.00013,50.40,-0.176,170.759"
"0.001,78.460,0.00023,50.50,-0.173,172.048"
"0.001,79.035,0.00033,50.50,-0.171,173.309"
"0.001,79.664,0.00042,50.50,-0.169,174.687"
"0.002,80.273,0.00052,50.50,-0.166,176.024"
"0.002,80.878,0.00062,50.40,-0.164,177.349"
"0.002,81.522,0.00072,50.40,-0.161,178.763"
"0.003,82.130,0.00082,50.40,-0.158,180.095"
"0.003,82.723,0.00091,50.40,-0.156,181.396"
"0.003,83.327,0.00101,50.40,-0.154,182.720"
"0.003,83.955,0.00111,50.40,-0.151,184.096"
"0.004,84.558,0.00121,50.40,-0.149,185.419"
"0.004,85.195,0.00131,50.40,-0.146,186.817"
"0.004,85.787,0.00141,50.40,-0.144,188.114"
"0.004,86.462,0.00150,50.40,-0.141,189.595"
"0.005,87.124,0.00160,50.40,-0.139,191.046"
"0.005,87.760,0.00170,50.40,-0.136,192.441"
"0.005,88.408,0.00180,50.40,-0.134,193.862"
"0.006,89.069,0.00190,50.40,-0.131,195.311"
"0.006,89.750,0.00200,50.30,-0.128,196.805"
"0.006,90.424,0.00210,50.30,-0.126,198.282"
"0.006,91.137,0.00220,50.30,-0.123,199.845"
"0.007,91.846,0.00230,50.30,-0.121,201.401"
"0.007,92.489,0.00239,50.40,-0.119,202.811"
"0.007,93.201,0.00249,50.40,-0.116,204.371"
"0.008,93.910,0.00259,50.40,-0.113,205.927"
"0.008,94.668,0.00269,50.30,-0.111,207.588"
"0.008,95.403,0.00279,50.30,-0.108,209.199"
"0.008,96.134,0.00289,50.30,-0.106,210.803"
"0.009,96.936,0.00299,50.30,-0.103,212.563"
"0.009,97.685,0.00309,50.30,-0.101,214.205"
"0.009,98.437,0.00319,50.30,-0.098,215.854"
"0.009,99.191,0.00328,50.30,-0.096,217.507"
"0.010,99.946,0.00338,50.30,-0.093,219.162"
"0.010,100.738,0.00348,50.30,-0.091,220.898"
"0.010,101.547,0.00358,50.30,-0.088,222.673"
"0.011,102.366,0.00368,50.30,-0.086,224.469"
"0.011,103.169,0.00377,50.40,-0.083,226.229"
"0.011,104.028,0.00387,50.30,-0.081,228.113"
"0.011,104.869,0.00397,50.30,-0.078,229.958"
"0.012,105.713,0.00407,50.30,-0.076,231.808"
"0.012,106.566,0.00417,50.30,-0.073,233.678"
"0.012,107.420,0.00426,50.30,-0.071,235.551"
"0.013,108.243,0.00436,50.30,-0.068,237.356"
"0.013,109.075,0.00446,50.30,-0.066,239.180"
"0.013,109.944,0.00456,50.30,-0.063,241.086"
"0.013,110.821,0.00466,50.30,-0.061,243.008"
"0.014,111.714,0.00476,50.30,-0.058,244.967"
"0.014,112.594,0.00485,50.30,-0.056,246.897"
"0.014,113.468,0.00495,50.30,-0.054,248.814"
"0.014,114.375,0.00505,50.30,-0.051,250.801"
"0.015,115.243,0.00515,50.30,-0.049,252.706"
"0.015,116.174,0.00524,50.30,-0.046,254.748"
"0.015,117.049,0.00535,50.30,-0.043,256.665"
"0.016,117.983,0.00544,50.20,-0.041,258.714"
"0.016,118.933,0.00554,50.20,-0.038,260.796"
"0.016,119.814,0.00564,50.20,-0.036,262.730"
"0.016,120.707,0.00574,50.20,-0.033,264.686"
"0.017,121.651,0.00583,50.20,-0.031,266.756"
"0.017,122.562,0.00593,50.20,-0.029,268.755"
"0.017,123.501,0.00603,50.20,-0.026,270.813"
"0.018,124.427,0.00613,50.30,-0.024,272.844"
"0.018,125.387,0.00623,50.30,-0.021,274.950"
"0.018,126.383,0.00633,50.20,-0.018,277.132"
"0.018,127.345,0.00643,50.20,-0.016,279.243"
"0.019,128.323,0.00653,50.20,-0.013,281.388"
"0.019,129.338,0.00663,50.20,-0.011,283.613"
"0.019,130.267,0.00672,50.20,-0.008,285.650"
"0.019,131.242,0.00682,50.20,-0.006,287.789"
"0.020,132.230,0.00692,50.20,-0.003,289.955"
"0.020,133.228,0.00702,50.20,-0.001,292.144"
"0.020,134.256,0.00712,50.20,0.002,294.397"
"0.021,135.235,0.00721,50.20,0.004,296.544"
"0.021,136.260,0.00731,50.20,0.006,298.791"
"0.021,137.314,0.00741,50.20,0.009,301.102"
"0.021,138.338,0.00751,50.20,0.012,303.348"
"0.022,139.390,0.00761,50.20,0.014,305.655"
"0.022,140.407,0.00770,50.20,0.016,307.884"
"0.022,141.427,0.00780,50.20,0.019,310.123"
"0.023,142.455,0.00790,50.20,0.021,312.376"
"0.023,143.530,0.00800,50.20,0.024,314.734"
"0.023,144.611,0.00810,50.20,0.026,317.104"
"0.023,145.691,0.00820,50.20,0.029,319.472"
"0.024,146.777,0.00830,50.20,0.031,321.853"
"0.024,147.884,0.00840,50.20,0.034,324.282"
"0.024,148.963,0.00850,50.20,0.037,326.648"
"0.024,150.060,0.00859,50.20,0.039,329.053"
"0.025,151.206,0.00869,50.20,0.041,331.566"
"0.025,152.311,0.00879,50.20,0.044,333.989"
"0.025,153.511,0.00889,50.20,0.046,336.621"
"0.026,154.633,0.00898,50.20,0.049,339.080"
"0.026,155.833,0.00908,50.20,0.051,341.713"
"0.026,157.021,0.00918,50.20,0.054,344.316"
"0.026,158.175,0.00928,50.20,0.056,346.848"
"0.027,159.433,0.00938,50.20,0.059,349.605"
"0.027,160.620,0.00948,50.20,0.061,352.209"
"0.027,161.875,0.00957,50.20,0.064,354.961"
"0.028,163.138,0.00967,50.20,0.066,357.731"
"0.028,164.383,0.00977,50.20,0.069,360.459"
"0.028,165.646,0.00987,50.20,0.071,363.230"
"0.028,166.867,0.00997,50.20,0.074,365.906"
"0.029,168.172,0.01007,50.20,0.076,368.769"
"0.029,169.413,0.01017,50.20,0.079,371.489"
"0.029,170.665,0.01026,50.20,0.081,374.235"
"0.029,171.905,0.01036,50.20,0.084,376.954"
"0.030,173.131,0.01046,50.10,0.086,379.642"
"0.030,174.428,0.01056,50.10,0.089,382.487"
"0.030,175.705,0.01065,50.10,0.091,385.287"
"0.031,176.970,0.01075,50.10,0.094,388.061"
"0.031,178.298,0.01085,50.10,0.096,390.974"
"0.031,179.633,0.01095,50.10,0.099,393.900"
"0.031,180.986,0.01105,50.10,0.101,396.866"
"0.032,182.262,0.01115,50.10,0.104,399.665"
"0.032,183.581,0.01125,50.10,0.106,402.557"
"0.032,184.894,0.01135,50.10,0.109,405.437"
"0.033,186.267,0.01144,50.10,0.111,408.447"
"0.033,187.584,0.01154,50.10,0.114,411.336"
"0.033,188.883,0.01164,50.10,0.116,414.183"
"0.033,190.232,0.01174,50.10,0.119,417.142"
"0.034,191.606,0.01183,50.10,0.121,420.154"
"0.034,192.951,0.01194,50.10,0.124,423.104"
"0.034,194.325,0.01204,50.10,0.126,426.117"
"0.034,195.481,0.01213,50.10,0.129,428.652"
"0.035,196.120,0.01223,50.10,0.131,430.053"
"0.035,197.174,0.01233,50.10,0.134,432.363"
"0.035,198.133,0.01243,50.10,0.136,434.468"
"0.036,198.743,0.01252,50.10,0.139,435.806"
"0.036,200.161,0.01262,50.10,0.141,438.914"
"0.036,201.649,0.01272,50.10,0.144,442.176"
"0.036,203.103,0.01282,50.10,0.146,445.365"
"0.037,204.545,0.01292,50.10,0.149,448.528"
"0.037,206.046,0.01302,50.10,0.151,451.819"
"0.037,207.488,0.01311,50.10,0.154,454.981"
"0.038,209.029,0.01321,50.10,0.156,458.361"
"0.038,210.576,0.01331,50.20,0.159,461.751"
"0.038,212.084,0.01341,50.10,0.161,465.058"
"0.038,213.573,0.01351,50.10,0.164,468.324"
"0.039,214.987,0.01361,50.10,0.166,471.425"
"0.039,216.352,0.01371,50.10,0.169,474.418"
"0.039,217.735,0.01381,50.10,0.171,477.451"
"0.039,219.328,0.01391,50.10,0.174,480.944"
"0.040,220.855,0.01400,50.10,0.176,484.292"
"0.040,222.304,0.01410,50.10,0.179,487.469"
"0.040,223.880,0.01420,50.10,0.181,490.925"
"0.041,225.403,0.01430,50.10,0.184,494.266"
"0.041,227.004,0.01439,50.10,0.186,497.775"
"0.041,228.506,0.01449,50.10,0.189,501.069"
"0.041,230.121,0.01459,50.10,0.191,504.610"
"0.042,231.642,0.01469,50.10,0.194,507.947"
"0.042,232.681,0.01479,50.10,0.196,510.224"
"0.042,234.236,0.01489,50.10,0.199,513.634"
"0.043,235.767,0.01498,50.10,0.201,516.990"
"0.043,237.193,0.01509,50.10,0.204,520.117"
